rho          phi          image        mask         PSNR         SSIM         NRMSE       
100.000      0.200        0            0            46.217       0.996        0.036       
100.000      0.200        0            1            37.186       0.993        0.093       
100.000      0.200        0            2            45.648       0.997        0.038       
100.000      0.200        0            3            40.412       0.995        0.068       
100.000      0.200        0            4            44.162       0.996        0.042       
100.000      0.200        0            5            43.806       0.997        0.048       
100.000      0.200        0            6            47.019       0.996        0.033       
100.000      0.200        0            7            48.616       0.998        0.028       
100.000      0.200        0            8            45.244       0.998        0.041       
100.000      0.200        0            9            39.806       0.988        0.048       
100.000      0.200        0            10           44.890       0.994        0.038       
100.000      0.200        0            11           46.659       0.997        0.035       
100.000      0.200        0            12           42.053       0.995        0.057       
100.000      0.200        0            13           44.290       0.995        0.046       
100.000      0.200        0            14           49.081       0.997        0.027       
100.000      0.200        0            15           48.536       0.998        0.028       
100.000      0.200        0            16           45.148       0.995        0.042       
100.000      0.200        0            17           45.050       0.997        0.042       
100.000      0.200        0            18           49.279       0.998        0.026       
100.000      0.200        0            19           48.282       0.997        0.029       
100.000      0.200        0            20           47.136       0.995        0.033       
100.000      0.200        0            21           47.252       0.997        0.033       
100.000      0.200        0            22           46.163       0.997        0.037       
100.000      0.200        0            23           46.264       0.992        0.037       
100.000      0.200        0            24           37.463       0.992        0.074       
100.000      0.200        0            25           39.119       0.995        0.071       
100.000      0.200        0            26           45.746       0.994        0.039       
100.000      0.200        0            27           45.928       0.996        0.037       
100.000      0.200        0            28           44.744       0.996        0.043       
100.000      0.200        0            29           47.897       0.997        0.030       
100.000      0.200        0            30           45.618       0.995        0.039       
100.000      0.200        0            31           47.824       0.995        0.031       
100.000      0.200        0            32           45.026       0.994        0.042       
100.000      0.200        0            33           45.363       0.989        0.041       
100.000      0.200        0            34           44.121       0.997        0.039       
100.000      0.200        0            35           46.073       0.996        0.037       
100.000      0.200        0            36           45.698       0.996        0.039       
100.000      0.200        0            37           41.669       0.993        0.046       
100.000      0.200        0            38           45.765       0.994        0.039       
100.000      0.200        0            39           44.727       0.993        0.044       
100.000      0.200        0            40           45.089       0.995        0.038       
100.000      0.200        0            41           44.619       0.996        0.044       
100.000      0.200        1            0            45.920       0.996        0.037       
100.000      0.200        1            1            37.576       0.992        0.090       
100.000      0.200        1            2            44.613       0.996        0.044       
100.000      0.200        1            3            38.727       0.994        0.083       
100.000      0.200        1            4            44.461       0.996        0.041       
100.000      0.200        1            5            43.996       0.997        0.048       
100.000      0.200        1            6            47.086       0.996        0.034       
100.000      0.200        1            7            49.046       0.998        0.027       
100.000      0.200        1            8            45.450       0.998        0.041       
100.000      0.200        1            9            40.432       0.989        0.045       
100.000      0.200        1            10           45.027       0.994        0.038       
100.000      0.200        1            11           46.843       0.997        0.034       
100.000      0.200        1            12           43.253       0.996        0.050       
100.000      0.200        1            13           44.735       0.995        0.045       
100.000      0.200        1            14           48.940       0.997        0.028       
100.000      0.200        1            15           48.577       0.998        0.028       
100.000      0.200        1            16           45.295       0.996        0.042       
100.000      0.200        1            17           45.062       0.997        0.043       
100.000      0.200        1            18           49.337       0.998        0.026       
100.000      0.200        1            19           48.484       0.997        0.029       
100.000      0.200        1            20           47.353       0.996        0.033       
100.000      0.200        1            21           47.553       0.997        0.032       
100.000      0.200        1            22           46.455       0.997        0.036       
100.000      0.200        1            23           46.612       0.993        0.036       
100.000      0.200        1            24           37.402       0.991        0.076       
100.000      0.200        1            25           38.755       0.994        0.075       
100.000      0.200        1            26           45.069       0.993        0.042       
100.000      0.200        1            27           46.239       0.996        0.036       
100.000      0.200        1            28           45.177       0.996        0.041       
100.000      0.200        1            29           48.094       0.997        0.030       
100.000      0.200        1            30           46.461       0.996        0.036       
100.000      0.200        1            31           48.015       0.995        0.031       
100.000      0.200        1            32           44.924       0.994        0.044       
100.000      0.200        1            33           45.319       0.990        0.042       
100.000      0.200        1            34           44.226       0.997        0.039       
100.000      0.200        1            35           46.084       0.995        0.038       
100.000      0.200        1            36           45.930       0.996        0.038       
100.000      0.200        1            37           41.889       0.993        0.045       
100.000      0.200        1            38           45.633       0.994        0.040       
100.000      0.200        1            39           44.679       0.992        0.045       
100.000      0.200        1            40           45.187       0.994        0.038       
100.000      0.200        1            41           44.952       0.996        0.043       
100.000      0.200        2            0            45.466       0.996        0.044       
100.000      0.200        2            1            37.635       0.993        0.098       
100.000      0.200        2            2            44.511       0.995        0.049       
100.000      0.200        2            3            39.865       0.994        0.081       
100.000      0.200        2            4            42.878       0.993        0.054       
100.000      0.200        2            5            43.843       0.997        0.054       
100.000      0.200        2            6            45.220       0.990        0.046       
100.000      0.200        2            7            47.996       0.997        0.034       
100.000      0.200        2            8            44.971       0.997        0.048       
100.000      0.200        2            9            38.631       0.980        0.057       
100.000      0.200        2            10           44.590       0.994        0.044       
