rho          phi          image        mask         PSNR         SSIM         NRMSE       
50.000       0.200        0            0            45.734       0.995        0.038       
50.000       0.200        0            1            37.886       0.991        0.086       
50.000       0.200        1            0            45.644       0.995        0.042       
50.000       0.200        1            1            38.576       0.992        0.085       
50.000       3.467        0            0            45.752       0.996        0.038       
50.000       3.467        0            1            37.757       0.992        0.087       
50.000       3.467        1            0            45.709       0.995        0.041       
50.000       3.467        1            1            38.527       0.993        0.086       
50.000       6.733        0            0            45.925       0.996        0.037       
50.000       6.733        0            1            37.812       0.992        0.087       
50.000       6.733        1            0            45.960       0.996        0.040       
50.000       6.733        1            1            38.510       0.994        0.086       
50.000       10.000       0            0            45.418       0.995        0.039       
50.000       10.000       0            1            37.776       0.991        0.087       
50.000       10.000       1            0            45.457       0.996        0.042       
50.000       10.000       1            1            38.467       0.993        0.086       
2537.500     0.200        0            0            40.479       0.997        0.070       
2537.500     0.200        0            1            33.901       0.994        0.137       
2537.500     0.200        1            0            40.299       0.997        0.078       
2537.500     0.200        1            1            33.926       0.994        0.147       
2537.500     3.467        0            0            40.445       0.997        0.070       
2537.500     3.467        0            1            33.893       0.994        0.137       
2537.500     3.467        1            0            40.148       0.997        0.079       
2537.500     3.467        1            1            33.929       0.994        0.147       
2537.500     6.733        0            0            40.434       0.997        0.070       
2537.500     6.733        0            1            33.843       0.993        0.138       
2537.500     6.733        1            0            40.130       0.997        0.079       
2537.500     6.733        1            1            33.919       0.994        0.147       
2537.500     10.000       0            0            40.122       0.997        0.073       
2537.500     10.000       0            1            33.846       0.993        0.138       
2537.500     10.000       1            0            39.882       0.996        0.081       
2537.500     10.000       1            1            33.861       0.993        0.148       
5025.000     0.200        0            0            40.208       0.997        0.072       
5025.000     0.200        0            1            33.821       0.993        0.138       
5025.000     0.200        1            0            39.762       0.997        0.082       
5025.000     0.200        1            1            33.851       0.994        0.148       
5025.000     3.467        0            0            40.179       0.997        0.072       
5025.000     3.467        0            1            33.849       0.993        0.138       
5025.000     3.467        1            0            39.874       0.997        0.081       
5025.000     3.467        1            1            33.887       0.994        0.147       
5025.000     6.733        0            0            40.167       0.997        0.072       
5025.000     6.733        0            1            33.805       0.993        0.139       
5025.000     6.733        1            0            39.858       0.997        0.082       
5025.000     6.733        1            1            33.914       0.994        0.147       
5025.000     10.000       0            0            40.121       0.997        0.073       
5025.000     10.000       0            1            33.804       0.993        0.139       
5025.000     10.000       1            0            39.868       0.996        0.081       
5025.000     10.000       1            1            33.824       0.993        0.148       
7512.500     0.200        0            0            40.075       0.997        0.073       
7512.500     0.200        0            1            33.817       0.993        0.138       
7512.500     0.200        1            0            39.756       0.997        0.083       
7512.500     0.200        1            1            33.849       0.994        0.148       
7512.500     3.467        0            0            40.047       0.997        0.073       
7512.500     3.467        0            1            33.814       0.993        0.138       
7512.500     3.467        1            0            39.733       0.997        0.083       
7512.500     3.467        1            1            33.853       0.994        0.148       
7512.500     6.733        0            0            40.037       0.997        0.073       
7512.500     6.733        0            1            33.765       0.993        0.139       
7512.500     6.733        1            0            39.718       0.997        0.083       
7512.500     6.733        1            1            33.843       0.994        0.148       
7512.500     10.000       0            0            40.121       0.997        0.073       
7512.500     10.000       0            1            33.801       0.993        0.139       
7512.500     10.000       1            0            39.728       0.996        0.083       
7512.500     10.000       1            1            33.822       0.993        0.149       
10000.000    0.200        0            0            40.074       0.997        0.073       
10000.000    0.200        0            1            33.814       0.993        0.138       
10000.000    0.200        1            0            39.752       0.997        0.083       
10000.000    0.200        1            1            33.848       0.994        0.148       
10000.000    3.467        0            0            40.046       0.997        0.073       
10000.000    3.467        0            1            33.812       0.993        0.138       
10000.000    3.467        1            0            39.730       0.997        0.083       
10000.000    3.467        1            1            33.852       0.994        0.148       
10000.000    6.733        0            0            40.037       0.997        0.073       
10000.000    6.733        0            1            33.763       0.993        0.139       
10000.000    6.733        1            0            39.715       0.997        0.083       
10000.000    6.733        1            1            33.842       0.994        0.148       
10000.000    10.000       0            0            40.121       0.997        0.073       
10000.000    10.000       0            1            33.800       0.993        0.139       
10000.000    10.000       1            0            39.724       0.996        0.083       
10000.000    10.000       1            1            33.820       0.993        0.149       
